metric_time__month,store__store_name,qualifying_revenue_usd_same_store
2016-09-01 00:00:00,Philadelphia,6080.0599999999695
2016-10-01 00:00:00,Philadelphia,10002.65999999997
2016-11-01 00:00:00,Philadelphia,14757.670000000004
2016-12-01 00:00:00,Philadelphia,19451.919999999976
2017-01-01 00:00:00,Philadelphia,24923.47999999997
2017-02-01 00:00:00,Philadelphia,20033.919999999936
2017-03-01 00:00:00,Brooklyn,7047.029999999898
2017-03-01 00:00:00,Philadelphia,27524.64000000003
2017-04-01 00:00:00,Brooklyn,19418.83000000013
2017-04-01 00:00:00,Philadelphia,22774.04999999999
2017-05-01 00:00:00,Brooklyn,24180.96000000031
2017-05-01 00:00:00,Philadelphia,29219.309999999947
2017-06-01 00:00:00,Brooklyn,19267.01000000025
2017-06-01 00:00:00,Philadelphia,19678.329999999984
2017-07-01 00:00:00,Philadelphia,20318.680000000008
2017-07-01 00:00:00,Brooklyn,22613.710000000196
2017-08-01 00:00:00,Philadelphia,24424.960000000006
2017-08-01 00:00:00,Brooklyn,35339.08000000055
