metric_time__month,store__store_name,revenue_usd
2016-09-01 00:00:00,Philadelphia,18053.280000000006
2016-10-01 00:00:00,Philadelphia,21923.950000000033
2016-11-01 00:00:00,Philadelphia,27916.81999999998
2016-12-01 00:00:00,Philadelphia,35677.60000000001
2017-01-01 00:00:00,Philadelphia,45017.94999999983
2017-02-01 00:00:00,Philadelphia,43358.11999999978
2017-03-01 00:00:00,Philadelphia,49092.32999999968
2017-03-01 00:00:00,Brooklyn,24857.990000000285
2017-04-01 00:00:00,Brooklyn,35420.20000000018
2017-04-01 00:00:00,Philadelphia,47896.78999999977
2017-05-01 00:00:00,Philadelphia,54589.12000000001
2017-05-01 00:00:00,Brooklyn,41481.23
2017-06-01 00:00:00,Brooklyn,47980.209999999875
2017-06-01 00:00:00,Philadelphia,50398.65999999986
2017-07-01 00:00:00,Philadelphia,44886.43999999998
2017-07-01 00:00:00,Brooklyn,49970.749999999745
2017-08-01 00:00:00,Philadelphia,47657.12000000003
2017-08-01 00:00:00,Brooklyn,59714.46999999927
