session_id,customer_id,store_id,started_at,converted_order_id
SES-001,96c8937f-d99c-4515-acec-db24d07768f9,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T08:55:00,2c54134f-2322-4704-9f82-e2e9b77bcb19
SES-002,7cd5e7f3-39c8-48ce-950a-1b70449e7829,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T19:10:00,3d12eb16-1bbb-47ad-a732-bf156c322fa6
SES-003,dd3b89f6-3929-46fc-91cb-d62cee594688,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T07:00:00,af9dc4a5-ec6d-4855-8ed7-770b42d18a92
SES-004,026f0a0c-400a-4482-a51f-c8bd57fb07df,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T13:40:00,076defc6-8848-4910-b44c-e7630c0443dc
SES-005,7c76af9c-d5fd-460e-82d9-5a7b2a4a118b,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T06:55:00,aac5bf3e-373d-4949-ac09-9e440a1eb4ff
SES-006,5498fa51-5a08-411e-a034-3148ad7c5716,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T08:58:00,8da1c198-0634-45a7-be99-b47d86919597
SES-007,d1747387-f31d-48d2-822b-699d6eb93a2b,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T07:15:00,NULL
SES-008,a40cca2b-cb31-42ad-8158-39b67128d0e4,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T07:10:00,771677c2-7d89-4d0d-a631-96d112928105
SES-009,6fb49b2f-4596-4be6-add0-f39f914cbd7f,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T07:05:00,9ba70a32-0e21-4638-a682-b7a0f141cdb1
SES-010,90831ddd-286f-4f2d-9c72-bfd03c07460c,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01T12:50:00,NULL
