order_id,prepared_at,delivered_at
2c54134f-2322-4704-9f82-e2e9b77bcb19,2016-09-01T09:48:00,2016-09-01T10:07:00
3d12eb16-1bbb-47ad-a732-bf156c322fa6,2016-09-01T20:12:00,2016-09-01T20:31:00
af9dc4a5-ec6d-4855-8ed7-770b42d18a92,2016-09-01T07:41:00,2016-09-01T08:00:00
076defc6-8848-4910-b44c-e7630c0443dc,2016-09-01T14:27:00,2016-09-01T14:48:00
aac5bf3e-373d-4949-ac09-9e440a1eb4ff,2016-09-01T08:01:00,2016-09-01T08:21:00
8da1c198-0634-45a7-be99-b47d86919597,2016-09-01T09:41:00,2016-09-01T10:03:00
e1f9833a-54be-4011-9780-bd474ecc5514,2016-09-01T08:16:00,2016-09-01T08:37:00
771677c2-7d89-4d0d-a631-96d112928105,2016-09-01T08:04:00,2016-09-01T08:24:00
9ba70a32-0e21-4638-a682-b7a0f141cdb1,2016-09-01T08:09:00,2016-09-01T08:30:00
ddcddb38-d87a-4b58-b877-cedc2b1f0f79,2016-09-01T13:39:00,2016-09-01T14:02:00
b41d6b02-fe3f-4748-8160-86ca18c37665,2016-09-01T15:43:00,2016-09-01T16:08:00
