metric_time__month,delivered_revenue
2016-09-01 00:00:00,18053.28000000001
2016-10-01 00:00:00,21923.950000000037
2016-11-01 00:00:00,27916.82000000003
2016-12-01 00:00:00,35677.60000000003
2017-01-01 00:00:00,45017.94999999981
2017-02-01 00:00:00,43358.11999999979
2017-03-01 00:00:00,73950.32000000043
2017-04-01 00:00:00,83316.99000000127
2017-05-01 00:00:00,96070.35000000303
2017-06-01 00:00:00,98378.87000000301
2017-07-01 00:00:00,94857.19000000219
2017-08-01 00:00:00,107371.59000000414
